,max_samples,contamination,n_estimators,max_features,bootstrap,precision,recall,f1
0,auto,auto,5,0.1,True,0.2777777777777778,0.8333333333333334,0.4166666666666667
1,auto,auto,10,0.1,True,0.2777777777777778,0.8333333333333334,0.4166666666666667
2,auto,auto,15,0.1,True,0.25,0.6666666666666666,0.36363636363636365
3,auto,auto,20,0.1,True,0.23529411764705882,0.6666666666666666,0.34782608695652173
4,auto,auto,50,0.1,True,0.25,0.8333333333333334,0.38461538461538464
5,auto,auto,100,0.1,True,0.22727272727272727,0.8333333333333334,0.35714285714285715
6,auto,auto,200,0.1,True,0.2,0.6666666666666666,0.3076923076923077
7,auto,auto,300,0.1,True,0.21052631578947367,0.6666666666666666,0.32
8,0.1,auto,5,0.1,True,0.0,0.0,0.0
9,0.1,auto,10,0.1,True,0.0,0.0,0.0
10,0.1,auto,15,0.1,True,0.0,0.0,0.0
11,0.1,auto,20,0.1,True,0.0,0.0,0.0
12,0.1,auto,50,0.1,True,0.0,0.0,0.0
13,0.1,auto,100,0.1,True,0.25,1.0,0.4
14,0.1,auto,200,0.1,True,0.25,1.0,0.4
15,0.1,auto,300,0.1,True,0.25,1.0,0.4
16,0.3,auto,5,0.1,True,0.125,0.3333333333333333,0.18181818181818182
17,0.3,auto,10,0.1,True,0.3076923076923077,0.6666666666666666,0.42105263157894735
18,0.3,auto,15,0.1,True,0.3125,0.8333333333333334,0.45454545454545453
19,0.3,auto,20,0.1,True,0.2857142857142857,0.6666666666666666,0.4
20,0.3,auto,50,0.1,True,0.2727272727272727,0.5,0.35294117647058826
21,0.3,auto,100,0.1,True,0.2857142857142857,0.6666666666666666,0.4
22,0.3,auto,200,0.1,True,0.2857142857142857,0.6666666666666666,0.4
23,0.3,auto,300,0.1,True,0.2857142857142857,0.6666666666666666,0.4
24,0.5,auto,5,0.1,True,0.21052631578947367,0.6666666666666666,0.32
25,0.5,auto,10,0.1,True,0.3125,0.8333333333333334,0.45454545454545453
26,0.5,auto,15,0.1,True,0.26666666666666666,0.6666666666666666,0.38095238095238093
27,0.5,auto,20,0.1,True,0.2857142857142857,0.6666666666666666,0.4
28,0.5,auto,50,0.1,True,0.3076923076923077,0.6666666666666666,0.42105263157894735
29,0.5,auto,100,0.1,True,0.3076923076923077,0.6666666666666666,0.42105263157894735
30,0.5,auto,200,0.1,True,0.25,0.6666666666666666,0.36363636363636365
31,0.5,auto,300,0.1,True,0.25,0.6666666666666666,0.36363636363636365
32,0.7,auto,5,0.1,True,0.2727272727272727,1.0,0.42857142857142855
33,0.7,auto,10,0.1,True,0.3125,0.8333333333333334,0.45454545454545453
34,0.7,auto,15,0.1,True,0.3125,0.8333333333333334,0.45454545454545453
35,0.7,auto,20,0.1,True,0.26666666666666666,0.6666666666666666,0.38095238095238093
36,0.7,auto,50,0.1,True,0.3125,0.8333333333333334,0.45454545454545453
37,0.7,auto,100,0.1,True,0.29411764705882354,0.8333333333333334,0.43478260869565216
38,0.7,auto,200,0.1,True,0.23529411764705882,0.6666666666666666,0.34782608695652173
39,0.7,auto,300,0.1,True,0.23529411764705882,0.6666666666666666,0.34782608695652173
40,0.9,auto,5,0.1,True,0.2222222222222222,0.6666666666666666,0.3333333333333333
41,0.9,auto,10,0.1,True,0.23529411764705882,0.6666666666666666,0.34782608695652173
42,0.9,auto,15,0.1,True,0.26666666666666666,0.6666666666666666,0.38095238095238093
43,0.9,auto,20,0.1,True,0.25,0.6666666666666666,0.36363636363636365
44,0.9,auto,50,0.1,True,0.2777777777777778,0.8333333333333334,0.4166666666666667
45,0.9,auto,100,0.1,True,0.2777777777777778,0.8333333333333334,0.4166666666666667
46,0.9,auto,200,0.1,True,0.2222222222222222,0.6666666666666666,0.3333333333333333
47,0.9,auto,300,0.1,True,0.23529411764705882,0.6666666666666666,0.34782608695652173
