corpus,type,val_perplexity,TTR,MATTR,Char Entr,Word Entr
id,nat,3.5956895417637296,5.804405920715581,0.7000903537521423,4.070997325634425,11.148131208425465
tl,nat,3.5444143818270777,7.498319228183428,0.609710032312572,3.894601916920792,9.976461518211735
tr,nat,4.257474246777986,13.993292204495452,0.8276522062932673,4.38697114010844,13.166179132132095
en,nat,4.138778813680013,6.025770221931612,0.6977442158193956,4.166890369471783,10.690033401108444
de,nat,4.002635180950165,12.010972493380658,0.7692925572022363,4.230064300946029,11.598005368503948
fr,nat,3.6254657007032822,7.304847898361983,0.7210234130485141,4.177654248936944,10.715771439407636
eo,con,3.9097506615423385,10.589733964319342,0.692378221511384,4.164255796402292,10.920602081314424
lfn,con,4.059734563827515,5.083458821357054,0.6009482658429861,3.912138978287033,9.320495113453878
ia,con,3.7620855649312337,6.795856609010167,0.5968374980762992,4.030915732904872,9.935302582360933
io,con,1.1530877266611372,3.677264713212737,0.566817655159467,4.083562225436652,8.296066122673977
pl,nat,4.255496992005242,14.665895373935948,0.8257832686049094,4.553058764941028,12.91849113073629
vi,nat,3.9136154760013926,1.7477433955761783,0.7342171194156195,4.85587942660858,9.714468956889972
fi,nat,4.176138336008245,20.40480062277019,0.8434598399756005,4.145226749121846,13.773463711512925
it,nat,4.18452362716198,8.470078185337096,0.7646877572533588,4.029247580286102,11.328108675727568
af,nat,3.66692312558492,6.836003907782487,0.6449095687549812,4.070472441167276,9.977933582703598
nl,nat,3.994206890463829,8.48991146085739,0.6942039495547178,4.117142904660357,10.604473870383622
es,nat,3.5059091965357463,7.16741822478434,0.6764083436426269,4.046697810042197,10.374388784363354
oc,nat,2.9025070590357624,6.997489138060482,0.7164350946407845,4.174443806452941,10.533685448585675
da,nat,4.629607319831848,10.41984304156583,0.7380776202449196,4.195687748475481,11.276504840116283
sv,nat,4.35468003244111,11.060649417382823,0.7564241982216907,4.296908360574168,11.515249439534278
is,nat,4.694504544138908,11.691284729006442,0.7466576755122145,4.46854106923228,11.526934650284192
hu,nat,4.617505537139045,16.122789014650927,0.7777196742857508,4.544243276462967,12.478133865278824
