,precision,recall,f1-score,support
con,0.4166666666666667,0.8333333333333334,0.5555555555555556,6.0
nat,0.9166666666666666,0.6111111111111112,0.7333333333333333,18.0
accuracy,,,0.6666666666666666,24.0
macro avg,0.6666666666666666,0.7222222222222223,0.6444444444444444,24.0
weighted avg,0.7916666666666666,0.6666666666666666,0.6888888888888888,24.0
