,kernel,degree,coef0,gamma,nu,precision,recall,f1
82,poly,0,0.0,0.0001,0.25,0.25,1.0,0.4
83,poly,0,0.0,0.0001,0.5,0.25,1.0,0.4
84,rbf,0,0.0,0.0001,0.01,0.0,0.0,0.0
85,rbf,0,0.0,0.0001,0.05,0.0,0.0,0.0
86,rbf,0,0.0,0.0001,0.1,0.2,0.16666666666666666,0.18181818181818182
87,rbf,0,0.0,0.0001,0.2,0.4,0.3333333333333333,0.36363636363636365
88,rbf,0,0.0,0.0001,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333
89,rbf,0,0.0,0.0001,0.5,0.23076923076923078,0.5,0.3157894736842105
90,sigmoid,0,0.0,0.0001,0.01,0.22727272727272727,0.8333333333333334,0.35714285714285715
91,sigmoid,0,0.0,0.0001,0.05,0.3076923076923077,0.6666666666666666,0.42105263157894735
92,sigmoid,0,0.0,0.0001,0.1,0.2857142857142857,1.0,0.4444444444444444
93,sigmoid,0,0.0,0.0001,0.2,0.3125,0.8333333333333334,0.45454545454545453
94,sigmoid,0,0.0,0.0001,0.25,0.22727272727272727,0.8333333333333334,0.35714285714285715
95,sigmoid,0,0.0,0.0001,0.5,0.0,0.0,0.0
96,linear,0,0.0,0.001,0.01,0.2,0.5,0.2857142857142857
97,linear,0,0.0,0.001,0.05,0.2857142857142857,0.6666666666666666,0.4
98,linear,0,0.0,0.001,0.1,0.08333333333333333,0.16666666666666666,0.1111111111111111
99,linear,0,0.0,0.001,0.2,0.125,0.3333333333333333,0.18181818181818182
100,linear,0,0.0,0.001,0.25,0.23076923076923078,0.5,0.3157894736842105
101,linear,0,0.0,0.001,0.5,0.23076923076923078,0.5,0.3157894736842105
102,poly,0,0.0,0.001,0.01,0.25,1.0,0.4
103,poly,0,0.0,0.001,0.05,0.25,1.0,0.4
104,poly,0,0.0,0.001,0.1,0.25,1.0,0.4
105,poly,0,0.0,0.001,0.2,0.25,1.0,0.4
106,poly,0,0.0,0.001,0.25,0.25,1.0,0.4
107,poly,0,0.0,0.001,0.5,0.25,1.0,0.4
108,rbf,0,0.0,0.001,0.01,0.3333333333333333,0.16666666666666666,0.2222222222222222
109,rbf,0,0.0,0.001,0.05,0.0,0.0,0.0
110,rbf,0,0.0,0.001,0.1,0.0,0.0,0.0
111,rbf,0,0.0,0.001,0.2,0.0,0.0,0.0
112,rbf,0,0.0,0.001,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333
113,rbf,0,0.0,0.001,0.5,0.2857142857142857,0.6666666666666666,0.4
114,sigmoid,0,0.0,0.001,0.01,0.38461538461538464,0.8333333333333334,0.5263157894736842
115,sigmoid,0,0.0,0.001,0.05,0.375,1.0,0.5454545454545454
116,sigmoid,0,0.0,0.001,0.1,0.3333333333333333,0.8333333333333334,0.47619047619047616
117,sigmoid,0,0.0,0.001,0.2,0.25,0.6666666666666666,0.36363636363636365
118,sigmoid,0,0.0,0.001,0.25,0.2857142857142857,0.6666666666666666,0.4
119,sigmoid,0,0.0,0.001,0.5,0.13333333333333333,0.3333333333333333,0.19047619047619047
120,linear,0,0.0,0.01,0.01,0.2,0.5,0.2857142857142857
121,linear,0,0.0,0.01,0.05,0.2857142857142857,0.6666666666666666,0.4
122,linear,0,0.0,0.01,0.1,0.08333333333333333,0.16666666666666666,0.1111111111111111
123,linear,0,0.0,0.01,0.2,0.125,0.3333333333333333,0.18181818181818182
124,linear,0,0.0,0.01,0.25,0.23076923076923078,0.5,0.3157894736842105
125,linear,0,0.0,0.01,0.5,0.23076923076923078,0.5,0.3157894736842105
126,poly,0,0.0,0.01,0.01,0.25,1.0,0.4
127,poly,0,0.0,0.01,0.05,0.25,1.0,0.4
128,poly,0,0.0,0.01,0.1,0.25,1.0,0.4
129,poly,0,0.0,0.01,0.2,0.25,1.0,0.4
130,poly,0,0.0,0.01,0.25,0.25,1.0,0.4
131,poly,0,0.0,0.01,0.5,0.25,1.0,0.4
132,rbf,0,0.0,0.01,0.01,0.0,0.0,0.0
133,rbf,0,0.0,0.01,0.05,0.0,0.0,0.0
134,rbf,0,0.0,0.01,0.1,0.0,0.0,0.0
135,rbf,0,0.0,0.01,0.2,0.16666666666666666,0.16666666666666666,0.16666666666666666
136,rbf,0,0.0,0.01,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333
137,rbf,0,0.0,0.01,0.5,0.25,0.5,0.3333333333333333
138,sigmoid,0,0.0,0.01,0.01,0.18181818181818182,0.3333333333333333,0.23529411764705882
139,sigmoid,0,0.0,0.01,0.05,0.25,0.16666666666666666,0.2
140,sigmoid,0,0.0,0.01,0.1,0.0,0.0,0.0
141,sigmoid,0,0.0,0.01,0.2,0.2,0.16666666666666666,0.18181818181818182
142,sigmoid,0,0.0,0.01,0.25,0.5,0.3333333333333333,0.4
143,sigmoid,0,0.0,0.01,0.5,0.25,0.5,0.3333333333333333
144,linear,0,0.0,0.1,0.01,0.2,0.5,0.2857142857142857
145,linear,0,0.0,0.1,0.05,0.2857142857142857,0.6666666666666666,0.4
146,linear,0,0.0,0.1,0.1,0.08333333333333333,0.16666666666666666,0.1111111111111111
147,linear,0,0.0,0.1,0.2,0.125,0.3333333333333333,0.18181818181818182
148,linear,0,0.0,0.1,0.25,0.23076923076923078,0.5,0.3157894736842105
149,linear,0,0.0,0.1,0.5,0.23076923076923078,0.5,0.3157894736842105
150,poly,0,0.0,0.1,0.01,0.25,1.0,0.4
151,poly,0,0.0,0.1,0.05,0.25,1.0,0.4
152,poly,0,0.0,0.1,0.1,0.25,1.0,0.4
153,poly,0,0.0,0.1,0.2,0.25,1.0,0.4
154,poly,0,0.0,0.1,0.25,0.25,1.0,0.4
155,poly,0,0.0,0.1,0.5,0.25,1.0,0.4
156,rbf,0,0.0,0.1,0.01,0.2857142857142857,0.3333333333333333,0.3076923076923077
157,rbf,0,0.0,0.1,0.05,0.14285714285714285,0.16666666666666666,0.15384615384615385
158,rbf,0,0.0,0.1,0.1,0.0,0.0,0.0
159,rbf,0,0.0,0.1,0.2,0.3,0.5,0.375
160,rbf,0,0.0,0.1,0.25,0.2,0.16666666666666666,0.18181818181818182
161,rbf,0,0.0,0.1,0.5,0.2727272727272727,0.5,0.35294117647058826
162,sigmoid,0,0.0,0.1,0.01,1.0,0.16666666666666666,0.2857142857142857
163,sigmoid,0,0.0,0.1,0.05,1.0,0.16666666666666666,0.2857142857142857
164,sigmoid,0,0.0,0.1,0.1,1.0,0.16666666666666666,0.2857142857142857
165,sigmoid,0,0.0,0.1,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333
166,sigmoid,0,0.0,0.1,0.25,0.5,0.5,0.5
167,sigmoid,0,0.0,0.1,0.5,0.18181818181818182,0.3333333333333333,0.23529411764705882
168,linear,0,0.0,1,0.01,0.2,0.5,0.2857142857142857
169,linear,0,0.0,1,0.05,0.2857142857142857,0.6666666666666666,0.4
170,linear,0,0.0,1,0.1,0.08333333333333333,0.16666666666666666,0.1111111111111111
171,linear,0,0.0,1,0.2,0.125,0.3333333333333333,0.18181818181818182
172,linear,0,0.0,1,0.25,0.23076923076923078,0.5,0.3157894736842105
173,linear,0,0.0,1,0.5,0.23076923076923078,0.5,0.3157894736842105
174,poly,0,0.0,1,0.01,0.25,1.0,0.4
175,poly,0,0.0,1,0.05,0.25,1.0,0.4
176,poly,0,0.0,1,0.1,0.25,1.0,0.4
177,poly,0,0.0,1,0.2,0.25,1.0,0.4
178,poly,0,0.0,1,0.25,0.25,1.0,0.4
179,poly,0,0.0,1,0.5,0.25,1.0,0.4
180,rbf,0,0.0,1,0.01,0.21428571428571427,0.5,0.3
181,rbf,0,0.0,1,0.05,0.23076923076923078,0.5,0.3157894736842105
182,rbf,0,0.0,1,0.1,0.16666666666666666,0.3333333333333333,0.2222222222222222
183,rbf,0,0.0,1,0.2,0.3125,0.8333333333333334,0.45454545454545453
184,rbf,0,0.0,1,0.25,0.23076923076923078,0.5,0.3157894736842105
185,rbf,0,0.0,1,0.5,0.0,0.0,0.0
186,sigmoid,0,0.0,1,0.01,0.0,0.0,0.0
187,sigmoid,0,0.0,1,0.05,0.0,0.0,0.0
188,sigmoid,0,0.0,1,0.1,0.0,0.0,0.0
189,sigmoid,0,0.0,1,0.2,0.0,0.0,0.0
190,sigmoid,0,0.0,1,0.25,0.16666666666666666,0.16666666666666666,0.16666666666666666
191,sigmoid,0,0.0,1,0.5,0.16666666666666666,0.3333333333333333,0.2222222222222222
192,linear,1,0.0,scale,0.01,0.2,0.5,0.2857142857142857
193,linear,1,0.0,scale,0.05,0.2857142857142857,0.6666666666666666,0.4
194,linear,1,0.0,scale,0.1,0.08333333333333333,0.16666666666666666,0.1111111111111111
195,linear,1,0.0,scale,0.2,0.125,0.3333333333333333,0.18181818181818182
196,linear,1,0.0,scale,0.25,0.23076923076923078,0.5,0.3157894736842105
197,linear,1,0.0,scale,0.5,0.23076923076923078,0.5,0.3157894736842105
198,poly,1,0.0,scale,0.01,0.23076923076923078,0.5,0.3157894736842105
199,poly,1,0.0,scale,0.05,0.21428571428571427,0.5,0.3
200,poly,1,0.0,scale,0.1,0.23076923076923078,0.5,0.3157894736842105
201,poly,1,0.0,scale,0.2,0.3333333333333333,0.6666666666666666,0.4444444444444444
202,poly,1,0.0,scale,0.25,0.45454545454545453,0.8333333333333334,0.5882352941176471
203,poly,1,0.0,scale,0.5,0.18181818181818182,0.3333333333333333,0.23529411764705882
204,rbf,1,0.0,scale,0.01,0.4444444444444444,0.6666666666666666,0.5333333333333333
205,rbf,1,0.0,scale,0.05,0.4444444444444444,0.6666666666666666,0.5333333333333333
206,rbf,1,0.0,scale,0.1,0.2222222222222222,0.3333333333333333,0.26666666666666666
207,rbf,1,0.0,scale,0.2,0.0,0.0,0.0
208,rbf,1,0.0,scale,0.25,0.3,0.5,0.375
209,rbf,1,0.0,scale,0.5,0.25,0.5,0.3333333333333333
210,sigmoid,1,0.0,scale,0.01,0.0,0.0,0.0
211,sigmoid,1,0.0,scale,0.05,0.0,0.0,0.0
212,sigmoid,1,0.0,scale,0.1,0.5,0.16666666666666666,0.25
213,sigmoid,1,0.0,scale,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333
214,sigmoid,1,0.0,scale,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333
215,sigmoid,1,0.0,scale,0.5,0.2857142857142857,0.6666666666666666,0.4
216,linear,1,0.0,auto,0.01,0.2,0.5,0.2857142857142857
217,linear,1,0.0,auto,0.05,0.2857142857142857,0.6666666666666666,0.4
218,linear,1,0.0,auto,0.1,0.08333333333333333,0.16666666666666666,0.1111111111111111
219,linear,1,0.0,auto,0.2,0.125,0.3333333333333333,0.18181818181818182
220,linear,1,0.0,auto,0.25,0.23076923076923078,0.5,0.3157894736842105
221,linear,1,0.0,auto,0.5,0.23076923076923078,0.5,0.3157894736842105
222,poly,1,0.0,auto,0.01,0.23076923076923078,0.5,0.3157894736842105
223,poly,1,0.0,auto,0.05,0.21428571428571427,0.5,0.3
224,poly,1,0.0,auto,0.1,0.23076923076923078,0.5,0.3157894736842105
225,poly,1,0.0,auto,0.2,0.3333333333333333,0.6666666666666666,0.4444444444444444
226,poly,1,0.0,auto,0.25,0.45454545454545453,0.8333333333333334,0.5882352941176471
227,poly,1,0.0,auto,0.5,0.18181818181818182,0.3333333333333333,0.23529411764705882
228,rbf,1,0.0,auto,0.01,0.4444444444444444,0.6666666666666666,0.5333333333333333
229,rbf,1,0.0,auto,0.05,0.4444444444444444,0.6666666666666666,0.5333333333333333
230,rbf,1,0.0,auto,0.1,0.2222222222222222,0.3333333333333333,0.26666666666666666
231,rbf,1,0.0,auto,0.2,0.0,0.0,0.0
232,rbf,1,0.0,auto,0.25,0.3,0.5,0.375
233,rbf,1,0.0,auto,0.5,0.25,0.5,0.3333333333333333
234,sigmoid,1,0.0,auto,0.01,0.0,0.0,0.0
235,sigmoid,1,0.0,auto,0.05,0.0,0.0,0.0
236,sigmoid,1,0.0,auto,0.1,0.5,0.16666666666666666,0.25
237,sigmoid,1,0.0,auto,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333
238,sigmoid,1,0.0,auto,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333
239,sigmoid,1,0.0,auto,0.5,0.2857142857142857,0.6666666666666666,0.4
240,linear,1,0.0,1e-06,0.01,0.2,0.5,0.2857142857142857
241,linear,1,0.0,1e-06,0.05,0.2857142857142857,0.6666666666666666,0.4
242,linear,1,0.0,1e-06,0.1,0.08333333333333333,0.16666666666666666,0.1111111111111111
243,linear,1,0.0,1e-06,0.2,0.125,0.3333333333333333,0.18181818181818182
244,linear,1,0.0,1e-06,0.25,0.23076923076923078,0.5,0.3157894736842105
245,linear,1,0.0,1e-06,0.5,0.23076923076923078,0.5,0.3157894736842105
