,max_samples,contamination,n_estimators,max_features,precision,recall,f1
117,24,0.05,50,0.5,0.0,0.0,0.0
118,24,0.05,100,0.5,0.0,0.0,0.0
119,24,0.05,200,0.5,0.0,0.0,0.0
120,auto,0.05,50,1.0,0.0,0.0,0.0
121,auto,0.05,100,1.0,0.0,0.0,0.0
122,auto,0.05,200,1.0,0.0,0.0,0.0
123,4,0.05,50,1.0,0.0,0.0,0.0
124,4,0.05,100,1.0,0.5,0.16666666666666666,0.25
125,4,0.05,200,1.0,0.5,0.16666666666666666,0.25
126,12,0.05,50,1.0,0.0,0.0,0.0
127,12,0.05,100,1.0,0.5,0.16666666666666666,0.25
128,12,0.05,200,1.0,0.0,0.0,0.0
129,16,0.05,50,1.0,0.0,0.0,0.0
130,16,0.05,100,1.0,0.5,0.16666666666666666,0.25
131,16,0.05,200,1.0,0.0,0.0,0.0
132,24,0.05,50,1.0,0.0,0.0,0.0
133,24,0.05,100,1.0,0.0,0.0,0.0
134,24,0.05,200,1.0,0.0,0.0,0.0
135,auto,0.1,50,0.1,0.3333333333333333,0.16666666666666666,0.2222222222222222
136,auto,0.1,100,0.1,0.3333333333333333,0.16666666666666666,0.2222222222222222
137,auto,0.1,200,0.1,0.3333333333333333,0.16666666666666666,0.2222222222222222
138,4,0.1,50,0.1,0.0,0.0,0.0
139,4,0.1,100,0.1,0.0,0.0,0.0
140,4,0.1,200,0.1,0.0,0.0,0.0
141,12,0.1,50,0.1,0.3333333333333333,0.16666666666666666,0.2222222222222222
142,12,0.1,100,0.1,0.3333333333333333,0.16666666666666666,0.2222222222222222
143,12,0.1,200,0.1,0.3333333333333333,0.16666666666666666,0.2222222222222222
144,16,0.1,50,0.1,0.3333333333333333,0.16666666666666666,0.2222222222222222
145,16,0.1,100,0.1,0.3333333333333333,0.16666666666666666,0.2222222222222222
146,16,0.1,200,0.1,0.3333333333333333,0.16666666666666666,0.2222222222222222
147,24,0.1,50,0.1,0.3333333333333333,0.16666666666666666,0.2222222222222222
