,corpus,epoch,loss,sp_cat_acc,val_loss,val_perplexity
0,af,39,1.7337435483932495,0.46477559208869934,1.8355457782745361,6.639261336263048
1,avk,24,1.9145253896713257,0.3991057872772217,2.0033583641052246,7.8092321150421276
2,da,31,1.753185749053955,0.45970162749290466,1.7983535528182983,6.407569107035499
3,de,29,1.6019426584243774,0.5067233443260193,1.6119909286499023,5.3225553544457345
4,en,31,1.7837860584259033,0.4335390329360962,1.9075424671173096,7.105505953064439
5,eo,31,1.7230056524276733,0.43822339177131653,1.7869453430175781,6.303115128589023
6,es,37,1.642905831336975,0.4696598947048187,1.7512680292129517,6.058524124318408
7,fi,30,1.5860949754714966,0.4910826086997986,1.558458685874939,4.994224401135674
8,fr,30,1.7028249502182007,0.45701301097869873,1.7681643962860107,6.256406016046387
9,hu,37,1.677370548248291,0.5071744918823242,1.6684134006500244,5.584318312038907
10,ia,31,1.7140567302703857,0.4525737166404724,1.8073683977127075,6.40550433198254
11,id,24,1.8407849073410034,0.42684483528137207,1.9498770236968994,7.285308575514712
12,io,27,1.7844619750976562,0.42837759852409363,1.9406132698059082,7.471193927829908
13,is,34,1.7051292657852173,0.4769634008407593,1.7346289157867432,5.99328820387556
14,it,45,1.573375940322876,0.48955535888671875,1.6723299026489258,5.56292699365417
15,lfn,26,1.880971074104309,0.39642834663391113,1.9961670637130737,7.716264728396153
16,nl,28,1.733136773109436,0.46257561445236206,1.7948148250579834,6.407211499150489
17,oc,31,1.7534091472625732,0.45132920145988464,1.8485774993896484,6.74147649302999
18,pl,33,1.6619722843170166,0.4795812666416168,1.6643593311309814,5.610940426907536
19,sv,30,1.73252534866333,0.4631953835487366,1.7681105136871338,6.207077529917157
20,tl,23,1.806438684463501,0.4387894868850708,1.8633767366409302,6.803438676957688
21,tr,35,1.5409172773361206,0.5070035457611084,1.5622401237487793,5.028225771109722
22,vi,25,2.2253777980804443,0.3440808057785034,2.4191999435424805,11.877540199555696
23,vo,21,1.931857705116272,0.39056873321533203,2.0792434215545654,8.702109975265689
