,corpus,epoch,loss,sp_cat_acc,val_loss,val_perplexity
0,af,37,1.8146306276321411,0.45109447836875916,1.8840166330337524,6.9857169937761405
1,avk,31,1.9613184928894043,0.39999088644981384,2.0463733673095703,8.095920120695277
2,da,35,1.8303686380386353,0.4597187340259552,1.8668683767318726,6.796125987109381
3,de,28,1.6902693510055542,0.5029461979866028,1.6867345571517944,5.7427730345014005
4,en,22,1.9029420614242554,0.42678189277648926,1.9617043733596802,7.600725013476567
5,eo,25,1.8542604446411133,0.4289207458496094,1.8848482370376587,7.015747783876997
6,es,31,1.7651640176773071,0.450691282749176,1.842258095741272,6.663794973467358
7,fi,35,1.6763522624969482,0.48022210597991943,1.6551110744476318,5.479028303921509
8,fr,32,1.7919864654541016,0.45505160093307495,1.8500217199325562,6.778768983557
9,hu,43,1.7363008260726929,0.48990723490715027,1.7362297773361206,5.951375752835128
10,ia,28,1.8215848207473755,0.43797898292541504,1.8943922519683838,6.957741349164695
11,id,24,1.8766040802001953,0.43099358677864075,1.9518742561340332,7.341896475179511
12,io,28,1.8893557786941528,0.4169062376022339,2.0474326610565186,8.266564748575352
13,is,29,1.7881064414978027,0.4681675136089325,1.7918204069137573,6.37591531470217
14,it,33,1.7120991945266724,0.4553493857383728,1.7606068849563599,6.123406078831235
15,lfn,23,1.9998878240585327,0.3735666275024414,2.0862936973571777,8.436286612696406
16,nl,29,1.8014922142028809,0.45979005098342896,1.8520996570587158,6.745894876012571
17,oc,36,1.8263460397720337,0.44126370549201965,1.9122787714004517,7.118480742017041
18,pl,27,1.7110936641693115,0.4820651710033417,1.7088782787322998,5.897636220379529
19,sv,36,1.7995017766952515,0.4664458632469177,1.825325608253479,6.51724508170942
20,tl,23,1.836934208869934,0.4225828945636749,1.90175199508667,7.039809353911363
21,tr,36,1.641697883605957,0.49447381496429443,1.6474887132644653,5.422372260883622
22,vi,24,2.2370035648345947,0.3483896851539612,2.3709592819213867,11.432003935977864
23,vo,25,1.9495121240615845,0.4008592367172241,2.1226422786712646,9.036970749814307
