,n_neighbors,algorithm,leaf_size,metric,contamination,precision,recall,f1
75,12,auto,100,euclidean,auto,0.3333333333333333,0.16666666666666666,0.2222222222222222
76,18,auto,100,euclidean,auto,0.0,0.0,0.0
77,1,auto,100,manhattan,auto,0.2,0.16666666666666666,0.18181818181818182
78,3,auto,100,manhattan,auto,0.3333333333333333,0.16666666666666666,0.2222222222222222
79,5,auto,100,manhattan,auto,0.6,0.5,0.5454545454545454
80,7,auto,100,manhattan,auto,0.5,0.3333333333333333,0.4
81,9,auto,100,manhattan,auto,0.5,0.3333333333333333,0.4
82,12,auto,100,manhattan,auto,0.3333333333333333,0.16666666666666666,0.2222222222222222
83,18,auto,100,manhattan,auto,0.0,0.0,0.0
84,1,auto,200,euclidean,auto,0.25,0.16666666666666666,0.2
85,3,auto,200,euclidean,auto,0.5,0.3333333333333333,0.4
86,5,auto,200,euclidean,auto,0.6666666666666666,0.6666666666666666,0.6666666666666666
87,7,auto,200,euclidean,auto,0.6,0.5,0.5454545454545454
88,9,auto,200,euclidean,auto,0.5,0.3333333333333333,0.4
89,12,auto,200,euclidean,auto,0.3333333333333333,0.16666666666666666,0.2222222222222222
90,18,auto,200,euclidean,auto,0.0,0.0,0.0
91,1,auto,200,manhattan,auto,0.2,0.16666666666666666,0.18181818181818182
92,3,auto,200,manhattan,auto,0.3333333333333333,0.16666666666666666,0.2222222222222222
93,5,auto,200,manhattan,auto,0.6,0.5,0.5454545454545454
94,7,auto,200,manhattan,auto,0.5,0.3333333333333333,0.4
95,9,auto,200,manhattan,auto,0.5,0.3333333333333333,0.4
96,12,auto,200,manhattan,auto,0.3333333333333333,0.16666666666666666,0.2222222222222222
97,18,auto,200,manhattan,auto,0.0,0.0,0.0
98,1,auto,300,euclidean,auto,0.25,0.16666666666666666,0.2
99,3,auto,300,euclidean,auto,0.5,0.3333333333333333,0.4
100,5,auto,300,euclidean,auto,0.6666666666666666,0.6666666666666666,0.6666666666666666
101,7,auto,300,euclidean,auto,0.6,0.5,0.5454545454545454
102,9,auto,300,euclidean,auto,0.5,0.3333333333333333,0.4
103,12,auto,300,euclidean,auto,0.3333333333333333,0.16666666666666666,0.2222222222222222
104,18,auto,300,euclidean,auto,0.0,0.0,0.0
105,1,auto,300,manhattan,auto,0.2,0.16666666666666666,0.18181818181818182
106,3,auto,300,manhattan,auto,0.3333333333333333,0.16666666666666666,0.2222222222222222
107,5,auto,300,manhattan,auto,0.6,0.5,0.5454545454545454
108,7,auto,300,manhattan,auto,0.5,0.3333333333333333,0.4
109,9,auto,300,manhattan,auto,0.5,0.3333333333333333,0.4
110,12,auto,300,manhattan,auto,0.3333333333333333,0.16666666666666666,0.2222222222222222
111,18,auto,300,manhattan,auto,0.0,0.0,0.0
112,1,auto,5,euclidean,0.01,0.0,0.0,0.0
113,3,auto,5,euclidean,0.01,0.0,0.0,0.0
114,5,auto,5,euclidean,0.01,0.0,0.0,0.0
115,7,auto,5,euclidean,0.01,0.0,0.0,0.0
116,9,auto,5,euclidean,0.01,0.0,0.0,0.0
117,12,auto,5,euclidean,0.01,0.0,0.0,0.0
118,18,auto,5,euclidean,0.01,0.0,0.0,0.0
119,1,auto,5,manhattan,0.01,0.0,0.0,0.0
120,3,auto,5,manhattan,0.01,0.0,0.0,0.0
121,5,auto,5,manhattan,0.01,0.0,0.0,0.0
122,7,auto,5,manhattan,0.01,0.0,0.0,0.0
123,9,auto,5,manhattan,0.01,0.0,0.0,0.0
124,12,auto,5,manhattan,0.01,0.0,0.0,0.0
125,18,auto,5,manhattan,0.01,0.0,0.0,0.0
126,1,auto,10,euclidean,0.01,0.0,0.0,0.0
127,3,auto,10,euclidean,0.01,0.0,0.0,0.0
128,5,auto,10,euclidean,0.01,0.0,0.0,0.0
129,7,auto,10,euclidean,0.01,0.0,0.0,0.0
130,9,auto,10,euclidean,0.01,0.0,0.0,0.0
131,12,auto,10,euclidean,0.01,0.0,0.0,0.0
132,18,auto,10,euclidean,0.01,0.0,0.0,0.0
133,1,auto,10,manhattan,0.01,0.0,0.0,0.0
134,3,auto,10,manhattan,0.01,0.0,0.0,0.0
135,5,auto,10,manhattan,0.01,0.0,0.0,0.0
136,7,auto,10,manhattan,0.01,0.0,0.0,0.0
137,9,auto,10,manhattan,0.01,0.0,0.0,0.0
138,12,auto,10,manhattan,0.01,0.0,0.0,0.0
139,18,auto,10,manhattan,0.01,0.0,0.0,0.0
140,1,auto,15,euclidean,0.01,0.0,0.0,0.0
141,3,auto,15,euclidean,0.01,0.0,0.0,0.0
142,5,auto,15,euclidean,0.01,0.0,0.0,0.0
143,7,auto,15,euclidean,0.01,0.0,0.0,0.0
144,9,auto,15,euclidean,0.01,0.0,0.0,0.0
145,12,auto,15,euclidean,0.01,0.0,0.0,0.0
146,18,auto,15,euclidean,0.01,0.0,0.0,0.0
147,1,auto,15,manhattan,0.01,0.0,0.0,0.0
148,3,auto,15,manhattan,0.01,0.0,0.0,0.0
149,5,auto,15,manhattan,0.01,0.0,0.0,0.0
150,7,auto,15,manhattan,0.01,0.0,0.0,0.0
151,9,auto,15,manhattan,0.01,0.0,0.0,0.0
152,12,auto,15,manhattan,0.01,0.0,0.0,0.0
153,18,auto,15,manhattan,0.01,0.0,0.0,0.0
154,1,auto,30,euclidean,0.01,0.0,0.0,0.0
155,3,auto,30,euclidean,0.01,0.0,0.0,0.0
156,5,auto,30,euclidean,0.01,0.0,0.0,0.0
157,7,auto,30,euclidean,0.01,0.0,0.0,0.0
158,9,auto,30,euclidean,0.01,0.0,0.0,0.0
159,12,auto,30,euclidean,0.01,0.0,0.0,0.0
160,18,auto,30,euclidean,0.01,0.0,0.0,0.0
161,1,auto,30,manhattan,0.01,0.0,0.0,0.0
162,3,auto,30,manhattan,0.01,0.0,0.0,0.0
163,5,auto,30,manhattan,0.01,0.0,0.0,0.0
164,7,auto,30,manhattan,0.01,0.0,0.0,0.0
165,9,auto,30,manhattan,0.01,0.0,0.0,0.0
166,12,auto,30,manhattan,0.01,0.0,0.0,0.0
167,18,auto,30,manhattan,0.01,0.0,0.0,0.0
168,1,auto,50,euclidean,0.01,0.0,0.0,0.0
169,3,auto,50,euclidean,0.01,0.0,0.0,0.0
170,5,auto,50,euclidean,0.01,0.0,0.0,0.0
171,7,auto,50,euclidean,0.01,0.0,0.0,0.0
172,9,auto,50,euclidean,0.01,0.0,0.0,0.0
173,12,auto,50,euclidean,0.01,0.0,0.0,0.0
174,18,auto,50,euclidean,0.01,0.0,0.0,0.0
175,1,auto,50,manhattan,0.01,0.0,0.0,0.0
176,3,auto,50,manhattan,0.01,0.0,0.0,0.0
177,5,auto,50,manhattan,0.01,0.0,0.0,0.0
178,7,auto,50,manhattan,0.01,0.0,0.0,0.0
179,9,auto,50,manhattan,0.01,0.0,0.0,0.0
180,12,auto,50,manhattan,0.01,0.0,0.0,0.0
181,18,auto,50,manhattan,0.01,0.0,0.0,0.0
182,1,auto,100,euclidean,0.01,0.0,0.0,0.0
183,3,auto,100,euclidean,0.01,0.0,0.0,0.0
184,5,auto,100,euclidean,0.01,0.0,0.0,0.0
185,7,auto,100,euclidean,0.01,0.0,0.0,0.0
186,9,auto,100,euclidean,0.01,0.0,0.0,0.0
187,12,auto,100,euclidean,0.01,0.0,0.0,0.0
188,18,auto,100,euclidean,0.01,0.0,0.0,0.0
189,1,auto,100,manhattan,0.01,0.0,0.0,0.0
190,3,auto,100,manhattan,0.01,0.0,0.0,0.0
191,5,auto,100,manhattan,0.01,0.0,0.0,0.0
192,7,auto,100,manhattan,0.01,0.0,0.0,0.0
193,9,auto,100,manhattan,0.01,0.0,0.0,0.0
194,12,auto,100,manhattan,0.01,0.0,0.0,0.0
195,18,auto,100,manhattan,0.01,0.0,0.0,0.0
196,1,auto,200,euclidean,0.01,0.0,0.0,0.0
197,3,auto,200,euclidean,0.01,0.0,0.0,0.0
198,5,auto,200,euclidean,0.01,0.0,0.0,0.0
199,7,auto,200,euclidean,0.01,0.0,0.0,0.0
200,9,auto,200,euclidean,0.01,0.0,0.0,0.0
201,12,auto,200,euclidean,0.01,0.0,0.0,0.0
202,18,auto,200,euclidean,0.01,0.0,0.0,0.0
203,1,auto,200,manhattan,0.01,0.0,0.0,0.0
204,3,auto,200,manhattan,0.01,0.0,0.0,0.0
205,5,auto,200,manhattan,0.01,0.0,0.0,0.0
206,7,auto,200,manhattan,0.01,0.0,0.0,0.0
207,9,auto,200,manhattan,0.01,0.0,0.0,0.0
208,12,auto,200,manhattan,0.01,0.0,0.0,0.0
209,18,auto,200,manhattan,0.01,0.0,0.0,0.0
210,1,auto,300,euclidean,0.01,0.0,0.0,0.0
211,3,auto,300,euclidean,0.01,0.0,0.0,0.0
212,5,auto,300,euclidean,0.01,0.0,0.0,0.0
213,7,auto,300,euclidean,0.01,0.0,0.0,0.0
214,9,auto,300,euclidean,0.01,0.0,0.0,0.0
215,12,auto,300,euclidean,0.01,0.0,0.0,0.0
216,18,auto,300,euclidean,0.01,0.0,0.0,0.0
217,1,auto,300,manhattan,0.01,0.0,0.0,0.0
218,3,auto,300,manhattan,0.01,0.0,0.0,0.0
219,5,auto,300,manhattan,0.01,0.0,0.0,0.0
220,7,auto,300,manhattan,0.01,0.0,0.0,0.0
221,9,auto,300,manhattan,0.01,0.0,0.0,0.0
222,12,auto,300,manhattan,0.01,0.0,0.0,0.0
223,18,auto,300,manhattan,0.01,0.0,0.0,0.0
224,1,auto,5,euclidean,0.03,0.0,0.0,0.0
225,3,auto,5,euclidean,0.03,0.0,0.0,0.0
226,5,auto,5,euclidean,0.03,0.0,0.0,0.0
227,7,auto,5,euclidean,0.03,0.0,0.0,0.0
228,9,auto,5,euclidean,0.03,0.0,0.0,0.0
229,12,auto,5,euclidean,0.03,0.0,0.0,0.0
230,18,auto,5,euclidean,0.03,0.0,0.0,0.0
231,1,auto,5,manhattan,0.03,0.0,0.0,0.0
232,3,auto,5,manhattan,0.03,0.0,0.0,0.0
233,5,auto,5,manhattan,0.03,0.0,0.0,0.0
234,7,auto,5,manhattan,0.03,0.0,0.0,0.0
235,9,auto,5,manhattan,0.03,0.0,0.0,0.0
236,12,auto,5,manhattan,0.03,0.0,0.0,0.0
237,18,auto,5,manhattan,0.03,0.0,0.0,0.0
238,1,auto,10,euclidean,0.03,0.0,0.0,0.0
239,3,auto,10,euclidean,0.03,0.0,0.0,0.0
240,5,auto,10,euclidean,0.03,0.0,0.0,0.0
241,7,auto,10,euclidean,0.03,0.0,0.0,0.0
242,9,auto,10,euclidean,0.03,0.0,0.0,0.0
243,12,auto,10,euclidean,0.03,0.0,0.0,0.0
244,18,auto,10,euclidean,0.03,0.0,0.0,0.0
245,1,auto,10,manhattan,0.03,0.0,0.0,0.0
246,3,auto,10,manhattan,0.03,0.0,0.0,0.0
247,5,auto,10,manhattan,0.03,0.0,0.0,0.0
248,7,auto,10,manhattan,0.03,0.0,0.0,0.0
249,9,auto,10,manhattan,0.03,0.0,0.0,0.0
250,12,auto,10,manhattan,0.03,0.0,0.0,0.0
251,18,auto,10,manhattan,0.03,0.0,0.0,0.0
252,1,auto,15,euclidean,0.03,0.0,0.0,0.0
253,3,auto,15,euclidean,0.03,0.0,0.0,0.0
254,5,auto,15,euclidean,0.03,0.0,0.0,0.0
255,7,auto,15,euclidean,0.03,0.0,0.0,0.0
256,9,auto,15,euclidean,0.03,0.0,0.0,0.0
257,12,auto,15,euclidean,0.03,0.0,0.0,0.0
258,18,auto,15,euclidean,0.03,0.0,0.0,0.0
259,1,auto,15,manhattan,0.03,0.0,0.0,0.0
260,3,auto,15,manhattan,0.03,0.0,0.0,0.0
261,5,auto,15,manhattan,0.03,0.0,0.0,0.0
262,7,auto,15,manhattan,0.03,0.0,0.0,0.0
263,9,auto,15,manhattan,0.03,0.0,0.0,0.0
264,12,auto,15,manhattan,0.03,0.0,0.0,0.0
265,18,auto,15,manhattan,0.03,0.0,0.0,0.0
266,1,auto,30,euclidean,0.03,0.0,0.0,0.0
267,3,auto,30,euclidean,0.03,0.0,0.0,0.0
268,5,auto,30,euclidean,0.03,0.0,0.0,0.0
269,7,auto,30,euclidean,0.03,0.0,0.0,0.0
270,9,auto,30,euclidean,0.03,0.0,0.0,0.0
271,12,auto,30,euclidean,0.03,0.0,0.0,0.0
272,18,auto,30,euclidean,0.03,0.0,0.0,0.0
273,1,auto,30,manhattan,0.03,0.0,0.0,0.0
274,3,auto,30,manhattan,0.03,0.0,0.0,0.0
275,5,auto,30,manhattan,0.03,0.0,0.0,0.0
276,7,auto,30,manhattan,0.03,0.0,0.0,0.0
277,9,auto,30,manhattan,0.03,0.0,0.0,0.0
278,12,auto,30,manhattan,0.03,0.0,0.0,0.0
279,18,auto,30,manhattan,0.03,0.0,0.0,0.0
280,1,auto,50,euclidean,0.03,0.0,0.0,0.0
281,3,auto,50,euclidean,0.03,0.0,0.0,0.0
282,5,auto,50,euclidean,0.03,0.0,0.0,0.0
283,7,auto,50,euclidean,0.03,0.0,0.0,0.0
284,9,auto,50,euclidean,0.03,0.0,0.0,0.0
285,12,auto,50,euclidean,0.03,0.0,0.0,0.0
286,18,auto,50,euclidean,0.03,0.0,0.0,0.0
287,1,auto,50,manhattan,0.03,0.0,0.0,0.0
288,3,auto,50,manhattan,0.03,0.0,0.0,0.0
289,5,auto,50,manhattan,0.03,0.0,0.0,0.0
290,7,auto,50,manhattan,0.03,0.0,0.0,0.0
291,9,auto,50,manhattan,0.03,0.0,0.0,0.0
292,12,auto,50,manhattan,0.03,0.0,0.0,0.0
293,18,auto,50,manhattan,0.03,0.0,0.0,0.0
294,1,auto,100,euclidean,0.03,0.0,0.0,0.0
295,3,auto,100,euclidean,0.03,0.0,0.0,0.0
296,5,auto,100,euclidean,0.03,0.0,0.0,0.0
