,precision,recall,f1-score,support
con,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
nat,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
accuracy,,,0.9166666666666666,24.0
macro avg,0.8888888888888888,0.8888888888888888,0.8888888888888888,24.0
weighted avg,0.9166666666666666,0.9166666666666666,0.9166666666666666,24.0
